title, author, publisher, date_published, ratings, pages, isbn, language, genres
Purple Hibiscus,Chimamanda Ngozi Adichie,HarperCollins UK,Nov 29| 2012,4.5,336,9780007383696,English,Fiction / Family Life / General
The Prodigal Daughter,Jeffrey Archer,Pan Macmillan,Apr 1| 2011,4.5,200,9780330524711,English,Fiction / Family Life / General
Seveneves,Neal Stephenson,HarperCollins UK,May 21| 2015,4.3,880,9780008132538,English,Fiction / Classics
Near Dark,Brad Thor,Simon and Schuster,Jul 21| 2020,4.5,352,9781982104085,English,Fiction / Political
Enemy of the State,Vince Flynn,Simon and Schuster,Sep 5| 2017,4.7,400,9781476783543,English,Fiction / General
Fist Of God,Frederick Forsyth,Random House,Jun 30| 2011,4.6,624,9781446486474,English,Fiction / Political
Fall of Giants,Ken Follett,Pan Macmillan,Jun 29| 2011,4.3,864,9780230757073,English,Fiction / Historical / General
Game Theory - A totally gripping thriller full of shocking twists,Colleen Cross,Slice Thrillers,Jan 21| 2021,4.2,320,9780987883513,English,Drama / Women Authors
American Dirt: THE SUNDAY TIMES AND NEW YORK TIMES BESTSELLER,Jeanine Cummins,Hachette UK,Jan 21| 2020,0,352,9781472261380,English,Fiction / General
Windmills of the Gods,Sidney Sheldon,HarperCollins UK,Jun 7| 2012,4.3,464,9780007380916,English,Fiction / Classics
The Sum of All Fears,Tom Clancy,Penguin,May 7| 2002,4.5,928,9781101002377,English,Fiction / Political
The Confession,John Grisham,Random House,Nov 9| 2010,4.1,464,9781409021551,English,Fiction / General
Atlas Shrugged,Ayn Rand,Penguin,Apr 21| 2005,3.5,1088,9781101137192,English,Fiction / Classics
The Power: WINNER OF THE WOMEN'S PRIZE FOR FICTION,Naomi Alderman,Penguin UK,Oct 27| 2016,4.4,352,9780670919970,English,Fiction / Dystopian
I| Claudius,Robert Graves,Penguin UK,Aug 3| 2006,4.5,416,9780141911748,English,Fiction / Biographical
The Orphan Master's Son: Barack Obama’s Summer Reading Pick 2019,Adam Johnson,Random House,Feb 16| 2012,4.4,592,9781448109265,English,Fiction / Coming of Age
Agent Running in the Field,John le Carré,Penguin UK,Oct 17| 2019,4.2,384,9780241986554,English,Fiction / Action & Adventure
Extremely Loud and Incredibly Close,Jonathan Safran Foer,Penguin UK,May 25| 2006,4.1,368,9780141909899,English,Fiction / City Life
10 Minutes 38 Seconds in this Strange World: SHORTLISTED FOR THE BOOKER PRIZE 2019,Elif Shafak,Penguin UK,Jun 6| 2019,4.0,320,9780241979457,English,Fiction / Family Life / General
The End of October: A page-turning thriller that warned of the risk of a global virus,Lawrence Wright,Random House,Apr 28| 2020,4.6,480,9781473584914,English,Fiction / Action & Adventure
Exile,James Swallow,Bonnier Publishing Fiction Ltd.,Jun 1| 2017,4.2,496,9781785760464,English,Fiction / General
Graceling,Kristin Cashore,Hachette UK,Nov 20| 2008,4.3,336,9780575086746,English,Fiction / Fantasy / Action & Adventure
Bitter Wormwood,Easterine Kire,Zubaan,Jun 25| 2012,5.0,254,9789381017463,English,Fiction / Contemporary Women
A Foreign Country (Thomas Kell Spy Thriller| Book 1),Charles Cumming,HarperCollins UK,Mar 29| 2012,4.0,416,9780007346448,English,Fiction / Action & Adventure
Funny Boy: A Novel,Shyam Selvadurai,HarperCollins,Jul 14| 2015,4.5,320,9780062383464,English,Fiction / Coming of Age
Daughter of the Empire,Raymond E. Feist,HarperCollins UK,Sep 13| 2012,4.7,528,9780007375646,English,Fiction / Classics
Girl at War,Sara Novic,Hachette UK,May 12| 2015,4.3,336,9781408706565,English,Fiction / Coming of Age
Apeirogon: Longlisted for the 2020 Booker Prize,Colum McCann,Bloomsbury Publishing,Feb 25| 2020,4.2,480,9781526607874,English,Fiction / Family Life / General
The Overstory: Winner of the 2019 Pulitzer Prize for Fiction,Richard Powers,Random House,Apr 11| 2019,4.6,640,9781473554498,English,Fiction / General
The Accidental Further Adventures of the Hundred-Year-Old Man,Jonas Jonasson,HarperCollins UK,Aug 9| 2018,4.4,448,9780008275587,English,Fiction / Action & Adventure
Dark Waters: A Crime Thriller,JB Turner,No Way Back Press,Feb 22| 2015,4.2,422,Flowing text,Fiction / Action & Adventure,Fiction / African American / Contemporary Women
The Dispossessed,Ursula K. Le Guin,Hachette UK,Sep 30| 2015,4.4,320,9781473206069,English,Fiction / Classics
An Unlikely Countess,Jo Beverley,Penguin,Mar 1| 2011,4.5,432,9781101477335,English,Fiction / Political
The ph-factor,Nipun Goel,Nipun Goel,139,4.7,Original pages,Web, Tablet,Fiction / Crime,Fiction / General
The Crimson Crown (The Seven Realms Series| Book 4),Cinda Williams Chima,HarperCollins UK,Jul 4| 2013,4.6,384,9780007498024,English,Fiction / Classics
Rebelión en la granja,George Orwel,Edición Digital,Feb 23| 2015,4.7,129,9789569197284,Spanish,Fiction / Political
La Tregua,Mario Benedetti,ebooks Patagonia,2011,4.7,119,9789568992118,Spanish,Fiction / Contemporary Women
Malena: A Novel,Edgardo David Holzman,Nortia Media Ltd,Aug 20| 2013,4.8,368,9780984835935,English,Fiction / Hispanic & Latino
Vespasian 1-3: Tribune of Rome| Rome's Executioner| False God of Rome,Robert Fabbri,Atlantic Books Ltd,Jul 7| 2014,4.7,300,9781782395409,English,Fiction / Action & Adventure
The Mad Ship (The Liveship Traders| Book 2),Robin Hobb,HarperCollins UK,Sep 1| 2011,4.5,912,9780007383474,English,Fiction / Fantasy / Epic
Hero of Rome (Gaius Valerius Verrens 1),Douglas Jackson,Random House,Jul 8| 2010,4.1,480,9781407055053,English,Fiction / Action & Adventure
The Nix,Nathan Hill,Pan Macmillan,Jan 26| 2017,4.4,400,9781509807864,English,Fiction / Action & Adventure
A Spark of Light: THE NUMBER ONE SUNDAY TIMES BESTSELLER,Jodi Picoult,Hachette UK,Oct 30| 2018,4.5,400,9781444788143,English,Fiction / Family Life / General
Home Fire: WINNER OF THE WOMEN'S PRIZE FOR FICTION 2018,Kamila Shamsie,Bloomsbury Publishing,Aug 15| 2017,4.3,272,9781408886755,English,Fiction / Classics
The Jungle: A Novel,Upton Sinclair,Open Road Media,Dec 15| 2015,4.7,304,9781497672109,English,Fiction / Classics
Dictator,Robert Harris,Random House,Oct 8| 2015,4.6,544,9781446409107,English,Fiction / Biographical
The Shining Ones (The Tamuli Trilogy| Book 2),David Eddings,HarperCollins UK,May 20| 2010,4.5,608,9780007368068,English,Fiction / Classics
THE LAST FRONTIER,ALISTAIR MACLEAN,MEHTA PUBLISHING HOUSE,Apr 1| 2018,5.0,364,9788177668421,Marathi,Fiction / General
Prodigal Summer: A Novel,Barbara Kingsolver,Harper Collins,Oct 13| 2009,4.3,464,9780061839924,English,Fiction / Literary
