title, author, publisher, date_published, ratings, pages, isbn, language, genres
Love Will Find a Way,Anurag Garg,Penguin Random House India Private Limited,Aug 14| 2017,4.3,232,9789386815354,English,Fiction / General
I Too Had a Love Story,Ravinder Singh,Penguin UK,Jan 15| 2018,4.4,264,9788184758672,English,Fiction / Fantasy / General
Fifty Shades Trilogy: Fifty Shades of Grey / Fifty Shades Darker / Fifty Shades Freed,E L James,Random House,Jun 14| 2012,4.4,800,9781448150625,English,Fiction / General
Something I Never Told You,Shravya Bhinder,Penguin Random House India Private Limited,Feb 14| 2019,4.4,256,9789353054755,English,Fiction / General
Defiant Queen,Meghan March,Red Dress Press,Nov 14| 2017,4.7,254,9781943796038,English,Fiction / Romance / Contemporary
The Modern Break-Up,Daniel Chidiac,Undercover Publishing House,Aug 13| 2019,4.6,244,9780987166555,English,Fiction / Romance / Contemporary
After,Anna Todd,Simon and Schuster,Oct 21| 2014,4.6,592,9781476792545,English,Fiction / Media Tie-In
Inappropriate,Vi Keeland,C. Scott Publishing,Jan 20| 2020,4.7,364,9781951045050,English,Fiction / Romance / Billionaires
It Started with a Friend Request,Sudeep Nagarkar,Random House India,Aug 29| 2017,4.4,224,9788184004540,English,Fiction / General
Wish I Could Tell You,Durjoy Datta,Penguin Random House India Private Limited,Oct 23| 2019,4.6,288,9789351188780,English,Fiction / General
It Ends with Us: A Novel,Colleen Hoover,Simon and Schuster,Aug 2| 2016,4.8,384,9781501110375,English,Fiction / Romance / Contemporary
The Complete Swanson Court Trilogy: A Contemporary Romance Box-Set,Serena Grey,Sweet Acacia Press,Feb 2| 2020,4.5,1000,Flowing text, Google-generated PDF,Fiction / Romance / Billionaires,Fiction / Romance / Collections & Anthologies
The Hating Game: 'The very best book to self-isolate with' Goodreads reviewer,Sally Thorne,Hachette UK,Aug 9| 2016,4.8,384,9780349414249,English,Fiction / Romance / Contemporary
The Billionaire's Passion,Alexia X.,Alexia Praks,Mar 29| 2020,4.6,287,Flowing text, Google-generated PDF,Fiction / Romance / Billionaires,Fiction / Romance / Contemporary
Normal People,Sally Rooney,Faber & Faber,Aug 28| 2018,4.3,304,9780571334667,English,Fiction / General
Beautiful Bastard,Christina Lauren,Simon and Schuster,Feb 12| 2013,4.5,320,9781476730103,English,Fiction / Romance / Contemporary
Dark Matter: A Mind-Blowing Twisted Thriller,Blake Crouch,Pan Macmillan,Aug 11| 2016,4.7,352,9781447297550,English,Fiction / Alternative History
I Only Have Eyes for You: The Sullivans| Book 4,Bella Andre,Oak Press| LLC,Jan 1| 2014,4.6,400,9781938127175,English,Fiction / Coming of Age
24 1/2 Kisses: The sequel to My Best Friend's Brother: A Love Story,Kennedy Claire,T&T Publishing,2015,4.7,110,9781310280160,English,Fiction / Romance / Contemporary
The Risk,Elle Kennedy,Elle Kennedy Inc.,Feb 18| 2019,4.6,434,9780994054463,English,Fiction / Romance / Contemporary
The Boy with a Broken Heart,Durjoy Dutta,Penguin Random House India Private Limited,Nov 27| 2017,4.6,240,9789387326330,English,Fiction / Fantasy / General
The Duchess Deal,Tessa Dare,HarperCollins,Aug 22| 2017,4.7,384,9780062349071,English,Fiction / Romance / General
The Flatshare: The bestselling romantic comedy and must-read debut,Beth O'Leary,Hachette UK,Apr 10| 2019,4.6,400,9781787474390,English,Fiction / Family Life / Siblings
Secret Love,Isabella White,Fire Quill Publishers,Nov 19| 2019,4.8,662,9780998471488,English,Fiction / Romance / Contemporary
Always Red,Isabelle Ronin,Sourcebooks| Inc.,Nov 7| 2017,4.9,384,9781492658498,English,Fiction / Romance / Contemporary
The Billionaire's Fake Girlfriend Box Set,Sierra Rose,Dark Shadows Publishing,May 8| 2016,4.6,421,Flowing text, Google-generated PDF,Fiction / Romance / Collections & Anthologies,Fiction / Romance / Contemporary
The Devil in Winter,Lisa Kleypas,Harper Collins,Oct 13| 2009,4.6,384,9780061793516,English,Fiction / Romance / General
The Knight,Skye Warren,Book Beautiful,Jan 31| 2017,4.7,310,9781940518541,English,Fiction / Romance / General
The Remains of the Day,Kazuo Ishiguro,Faber & Faber,Jan 8| 2009,4.4,272,9780571249350,English,Fiction / Biographical
Rebecca,Daphne Du Maurier,Hachette UK,Feb 9| 2012,4.2,448,9781405513463,English,Fiction / Classics
Obsession,Helen Hardt,Waterhouse Press,Jul 19| 2016,4.8,280,9781943893676,English,Fiction / Romance / Contemporary
Claimed,Z.L. Arkadie,Z.L. Arkadie Books,Mar 14| 2019,4.8,252,9781942857488,English,Fiction / Romance / Billionaires
The Greek's Forgotten Wife,Elizabeth Lennox,Elizabeth Lennox Books LLC (www.ElizabethLennox.com),Sep 18| 2015,4.3,120,9781940134833,English,Fiction / Romance / Contemporary
Ransom,Julie Garwood,Simon and Schuster,Aug 31| 2010,4.7,546,9781439138830,English,Fiction / General
Wicked in His Arms,Stacy Reid,Entangled: Scandalous,Jan 23| 2017,4.7,300,9781633758513,English,Fiction / Romance / General
Obsession Mine (Tormentor Mine #2),Anna Zaires,Mozaika LLC,Nov 14| 2017,4.7,357,9781631422386,English,Fiction / Romance / Contemporary
Shopping for a Billionaire Boxed Set (Books 1-5) (Romantic Comedy) (New York Times bestseller),Julia Kent,Julia Kent,Jan 16| 2015,4.6,552,Flowing text, Google-generated PDF,Fiction / Contemporary Women,Fiction / General
Hideaway,Nora Roberts,Hachette UK,May 26| 2020,4.6,464,9780349421971,English,Fiction / Crime
The Undomestic Goddess: Perfect Escapism from the Number One Bestseller,Sophie Kinsella,Random House,Jun 26| 2009,4.5,432,9781409081166,English,Fiction / General
Wallbanger,Alice Clayton,Simon and Schuster,Feb 14| 2013,4.3,320,9781476741260,English,Fiction / Romance / Contemporary
Choosing the Right Man (CAN'T RESIST series),Violet Duke,Violet Duke,Jul 30| 2013,4.2,220,9780989163323,English,Fiction / Contemporary Women
Cheeky King,Nana Malone,Sankofa Girl,Apr 30| 2018,4.7,248,Flowing text, Google-generated PDF,Fiction / Romance / Action & Adventure,Fiction / Romance / Billionaires
Manwhore +1,Katy Evans,Simon and Schuster,Jul 7| 2015,4.6,336,9781501101571,English,Fiction / Romance / Contemporary
Mad Love 2,Colet Abedi,Alibi Publishing,Sep 21| 2015,4.7,286,9780996708807,English,Fiction / Romance / Contemporary
The Master,Kresley Cole,Simon and Schuster,Feb 17| 2015,4.8,368,9781451650105,English,Fiction / General
Snow Falling,Jane Gloriana Villanueva,Simon and Schuster,Nov 14| 2017,4.9,240,9781507206638,English,Fiction / General
Light My Fire,Misha Carver,Misha Carver,Mar 4| 2017,4.0,139,9781988343068,English,Fiction / Romance / Action & Adventure
