title, author, publisher, date_published, ratings, pages, isbn, language, genres
The Art of War,Tzu| Sun,Aegitas,Mar 19| 2017,4.4,37,9785000640074,English,Fiction / War & Military
Catch-22,Joseph Heller,Random House,Jun 8| 2011,4.4,528,9781446424049,English,Fiction / Classics
The Last Kingdom Series Books 1-6: The gripping| bestselling historical fiction series (The Last Kingdom Series),Bernard Cornwell,HarperCollins UK,Dec 6| 2012,4.7,2366,9780007511464,English,Fiction / Action & Adventure
The Four Legendary Kingdoms,Matthew Reilly,Hachette UK,Nov 3| 2016,4.7,448,9781409167143,English,Fiction / Action & Adventure
Red Storm Rising: A Suspense Thriller,Tom Clancy,Penguin,Jul 1| 1987,4.7,736,9781101002346,English,Fiction / Action & Adventure
War and Peace,Leo Tolstoy,GENERAL PRESS,May 24| 2016,4.2,2790,9788180320026,English,Fiction / Classics
Prince of Fools (Red Queen’s War| Book 1),Mark Lawrence,HarperCollins UK,Jun 5| 2014,4.3,512,9780007531554,English,Fiction / Classics
Into the Fire,Gregg Hurwitz,Penguin UK,Feb 20| 2020,4.7,464,9781405928571,English,Fiction / Action & Adventure
I Am Pilgrim: The bestselling Richard & Judy Book Club pick,Terry Hayes,Random House,Jul 18| 2013,4.2,704,9781448170609,English,Fiction / Crime
The Alice Network: A Novel,Kate Quinn,HarperCollins,Jun 6| 2017,4.5,560,9780062654205,English,Fiction / Historical / World War I
The Lucky One,Nicholas Sparks,Hachette UK,Feb 4| 2010,4.5,352,9780748119752,English,Fiction / General
Half of a Yellow Sun,Chimamanda Ngozi Adichie,HarperCollins UK,Jan 19| 2009,4.3,448,9780007279289,English,Fiction / Classics
The Nightingale: Bravery| Courage| Fear and Love in a Time of War,Kristin Hannah,Pan Macmillan,Jan 29| 2015,4.7,352,9781447283065,English,Fiction / Family Life / Siblings
Fatherland,Robert Harris,Random House,May 31| 2012,4.6,560,9781448150274,English,Fiction / Alternative History
Fall of Giants,Ken Follett,Penguin,Aug 30| 2011,4.4,960,9781101543559,English,Fiction / Historical / General
Jonathan Strange and Mr Norrell,Susanna Clarke,Bloomsbury Publishing,Feb 24| 2009,4.6,1024,9781408803745,English,Body| Mind & Spirit / Magick Studies
Conqueror: The Complete 5-Book Collection,Conn Iggulden,HarperCollins UK,Mar 28| 2013,4.7,2256,9780007518722,English,Fiction / Anthologies (multiple authors)
The Core (The Demon Cycle| Book 5),Peter V. Brett,HarperCollins UK,Sep 28| 2017,4.5,880,9780007425747,English,Fiction / Fantasy / Action & Adventure
