title, author, publisher, date_published, ratings, pages, isbn, language, genres
Angels And Demons,Dan Brown,Random House,May 14| 2009,4.6,624,9781409083948,English,Fiction / Action & Adventure
Master of the Game,Sidney Sheldon,HarperCollins UK,Jun 7| 2012,4.5,688,9780007370610,English,Fiction / Action & Adventure
A Clash of Kings (A Song of Ice and Fire| Book 2),George R.R. Martin,HarperCollins UK,Feb 3| 2011,4.5,752,9780007378388,English,Fiction / Action & Adventure
Words of Radiance,Brandon Sanderson,Hachette UK,Mar 6| 2014,4.8,1088,9780575097438,English,Fiction / Action & Adventure
The Wise Man's Fear,Patrick Rothfuss,Penguin,Mar 1| 2011,4.8,1120,9781101486405,English,Fiction / Action & Adventure
Outlander,Diana Gabaldon,Random House,Aug 31| 2011,4.7,880,9781446494301,English,Fiction / Action & Adventure
Marvel's SPIDER-MAN: Hostile Takeover,David Liss,Titan Books,Aug 21| 2018,4.6,336,9781785659768,English,Fiction / Action & Adventure
The Last Odyssey,James Rollins,HarperCollins,Mar 24| 2020,4.5,624,9780062892904,English,Fiction / Action & Adventure
CHACHA CHAUDHARY,PRAN KUMAR SHARMA,Prans Features LLP,Dec 13| 2017,4.6,35,Original pages,Art / Techniques / Cartooning,Comics & Graphic Novels / Anthologies
The Hunt for Red October,Tom Clancy,Penguin,Apr 1| 1992,4.7,656,9781101010365,English,Fiction / Action & Adventure
Lethal White: Cormoran Strike Book 4| Book 4,Robert Galbraith,Hachette UK,Sep 18| 2018,4.5,656,9780751572841,English,Fiction / Action & Adventure
Ready Player One,Ernest Cline,Random House,Aug 18| 2011,4.4,384,9781446493830,English,Fiction / Action & Adventure
Boots Belts Berets,Tanushree Podder,Roli Books Private Limited,Jun 1| 2013,4.7,223,9788174369314,English,Fiction / Action & Adventure
The Return of the King (The Lord of the Rings| Book 3),J. R. R. Tolkien,HarperCollins UK,Apr 20| 2009,4.8,464,9780007322558,English,Fiction / Action & Adventure
God of War: The Official Novelization,J.M. Barlog,Titan Books,Aug 28| 2018,4.5,400,9781789090154,English,Fiction / Action & Adventure
The Complete Works of Charles Dickens (Illustrated Edition): All 15 novels| short stories| poems and plays,Charles Dickens,GENERAL PRESS,Aug 10| 2016,4.3,5200,9788180320071,English,Fiction / Action & Adventure
The Three Secret Cities,Matthew Reilly,Hachette UK,Nov 8| 2018,4.7,448,9781409167198,English,Fiction / Action & Adventure
