title, author, publisher, date_published, ratings, pages, isbn, language, genres
Baby Daddy,Kendall Ryan,Kendall Ryan,Feb 27| 2018,4.6,264,Flowing text, Google-generated PDF,Fiction / Humorous / General,Fiction / Romance / Contemporary
After You,Jojo Moyes,Penguin UK,Sep 24| 2015,4.4,448,9781405909082,English,Fiction / General
Beard Science,Penny Reid ,Cipher Naught ,Oct 11| 2016,4.8,203,9781942874249,English,Fiction / Humorous / General
All I Ever Need Is You: Seattle Sullivans #5 (Contemporary Romance),Bella Andre,Oak Press| LLC,Apr 8| 2015,4.7,400,9781938127595,English,Fiction / Contemporary Women
China Rich Girlfriend,Kevin Kwan,Allen & Unwin,Jun 24| 2015,4.4,400,9781925267570,English,Fiction / Humorous / General
The Thursday Murder Club: The Record-Breaking Sunday Times Number One Bestseller,Richard Osman,Penguin UK,Sep 3| 2020,4.6,336,9780241988275,English,Fiction / Crime
Fantastic Mr Fox,Roald Dahl,Penguin UK,Sep 6| 2007,4.3,96,9780141929842,English,Fiction / Humorous / General
The Lost Causes of Bleak Creek,Rhett McLaughlin,Crown,Oct 29| 2019,4.8,352,9781984822154,English,Fiction / Humorous / General
Britt-Marie Was Here,Fredrik Backman,Hachette UK,May 3| 2016,4.6,400,9781473617223,English,Fiction / General
The Hundred-Year-Old Man Who Climbed Out of the Window and Disappeared,Jonas Jonasson,Hachette UK,Jul 9| 2015,4.1,400,9780349141817,English,Fiction / Alternative History
The Rosie Effect,Graeme Simsion,Penguin UK,Sep 25| 2014,4.2,432,9781405918077,English,Fiction / Family Life / General
Three Men in a Boat,Jerome K. Jerome,Open Road Media,Sep 23| 2014,4.6,223,9781497672161,English,Fiction / Classics
Don't Want To Miss A Thing: A warm and witty romance with many twists along the way,Jill Mansell,Hachette UK,Jan 31| 2013,4.5,352,9780755355983,English,Family & Relationships / General
The Restaurant at the End of the Universe,Douglas Adams,Pan Macmillan,Sep 1| 2009,4.0,224,9780330513111,English,Fiction / General
The Runaway Wife: A laugh out loud feel good novel about second chances,Dee MacDonald,Bookouture,Apr 24| 2018,4.5,350,9781786813541,English,Fiction / Contemporary Women
Christmas Ever After (Puffin Island trilogy| Book 3),Sarah Morgan,HarperCollins UK,Oct 8| 2015,4.3,368,9781474030946,English,Fiction / General
Nothing to See Here,Kevin Wilson,HarperCollins,Oct 29| 2019,4.4,288,9780062913487,English,Fiction / Family Life / General
The Code of the Woosters,P.G. Wodehouse,Random House,Mar 26| 2009,4.7,304,9781409035077,English,Fiction / Classics
Love to Hate You: The laugh-out-loud romantic comedy hit,Jo Watson,Hachette UK,Feb 6| 2018,0,384,9781472257772,English,Fiction / Family Life / General
If I Never Met You,Mhairi McFarlane,HarperCollins,Jan 1| 2020,4.4,432,9780008169473,English,Fiction / General
Summer at the Comfort Food Cafe: A gorgeously uplifting and heartwarming romantic comedy to escape with this summer| one of those perfect beach reads (The Comfort Food Cafe| Book 1),Debbie Johnson,HarperCollins UK,Apr 29| 2016,4.8,352,9780008150242,English,Fiction / General
Hunting for a Highlander,Lynsay Sands,HarperCollins,Jan 28| 2020,4.7,384,9780062855381,English,Fiction / Humorous / General
Alpha Blood Box Set (BBW Werewolf Shifter Romance),Mac Flynn,Crescent Moon Studios| Inc.,Oct 19| 2015,4.4,500,Flowing text, Original pages,Fiction / Action & Adventure,Fiction / Contemporary Women
Perky (Do-Over Series #2),Julia Kent,Julia Kent,Jul 30| 2019,4.8,280,Flowing text,Fiction / Humorous / General,Fiction / Romance / Contemporary
Scott Pilgrim,Bryan Lee O’Malley,HarperCollins UK,Sep 27| 2012,4.5,168,9780007362998,English,Comics & Graphic Novels / General
Boyfriend Material,Alexis Hall,Sourcebooks| Inc.,Jul 7| 2020,4.7,432,9781728206158,English,Fiction / Coming of Age
The Dutch House: Longlisted for the Women's Prize 2020,Ann Patchett,Bloomsbury Publishing,Sep 24| 2019,4.3,352,9781526614940,English,Family & Relationships / General
A Dog's Purpose: A novel for humans,W. Bruce Cameron,Pan Macmillan,Dec 22| 2011,4.0,336,9781447213246,English,Fiction / Animals
The Storied Life of A.J. Fikry,Gabrielle Zevin,Hachette UK,Dec 2| 2014,4.3,320,9780349141084,English,Fiction / Disaster
Going Postal,Terry Pratchett,Harper Collins,Oct 13| 2009,4.5,416,9780061807190,English,Fiction / Fantasy / Action & Adventure
Lyrical,Bree Dahlia,Bree Dahlia,Mar 15| 2017,4.7,350,Flowing text, Original pages,Fiction / Humorous / General,Fiction / Romance / Contemporary
A Rancher's Heart,Vivian Arend,Arend Publishing Inc.,Nov 16| 2017,4.8,344,9781941456309,English,Fiction / Humorous / General
Return Billionaire to Sender,Annika Martin,Cinnamon Crane,Oct 20| 2020,5.0,357,9781944736163,English,Fiction / Humorous / General
Mr Penumbra's 24-hour Bookstore,Robin Sloan,Atlantic Books Ltd,Dec 20| 2012,4.3,300,9781782391203,English,Fiction / Action & Adventure
Ubur-Ubur Lembur,Raditya Dika,GagasMedia,Feb 1| 2018,4.7,232,9789797809157,Indonesian,Fiction / Humorous / General
Erotic Stories for Punjabi Widows,Balli Kaur Jaswal,HarperCollins,Mar 9| 2017,3.9,400,9780008209902,English,Fiction / Classics
Three Wishes: A Novel,Liane Moriarty,Harper Collins,Oct 13| 2009,4.3,384,9780061856914,English,Fiction / Family Life / Siblings
Romeo and/or Juliet: A Chooseable-Path Adventure,Ryan North,Penguin,Jun 7| 2016,4.2,400,9781101983317,English,Fiction / Humorous / General
In His Own Write,John Lennon,Simon and Schuster,Oct 5| 2010,4.6,176,9781451625271,English,Fiction / General
Dating Dr. Notorious,Donna McDonald,Donna McDonald,Mar 12| 2011,4.9,262,9781939988027,English,Fiction / Humorous / General
Warlock,Oakley Hall,New York Review of Books,Aug 5| 2014,4.8,488,9781590178232,English,Fiction / Historical / General
Us,David Nicholls,Hachette UK,Sep 30| 2014,4.1,400,9781444709193,English,Fiction / Family Life / General
The Proposal: A Reese Witherspoon Hello Sunshine Book Club Pick,Jasmine Guillory,Hachette UK,Oct 30| 2018,4.0,304,9781472255853,English,Cooking / Comfort Food
I Heart Christmas (I Heart Series| Book 6),Lindsey Kelk,HarperCollins UK,Nov 21| 2013,4.3,384,9780007501526,English,Fiction / Holidays
Less: Winner of the Pulitzer Prize for Fiction 2018,Andrew Sean Greer,Hachette UK,Apr 21| 2018,4.1,272,9780349143606,English,Fiction / General
The Lost Husband: A Novel,Katherine Center,Ballantine Books,May 7| 2013,4.3,304,9780345538918,English,Fiction / Family Life / General
Daft Wee Stories,Limmy,Random House,Jul 30| 2015,4.6,368,9781473517899,English,Fiction / Humorous / General
The Bride Test: Goodread's Big Books of Spring 2019,Helen Hoang,Atlantic Books,May 7| 2019,4.2,214,9781786499622,English,Fiction / Erotica / General
Waiting for Godot: A Tragicomedy in Two Acts,Samuel Beckett,Faber & Faber,Sep 20| 2012,4.7,128,9780571297016,English,Drama / European / English| Irish| Scottish| Welsh
Riders: The classic book from the Sunday Times bestselling author,Jilly Cooper,Random House,Dec 23| 2010,4.6,928,9781409032311,English,Fiction / General
