title, author, publisher, date_published, ratings, pages, isbn, language, genres
American Gods,Neil Gaiman,Hachette UK,Nov 10| 2011,4.3,521,9780755379927,English,Fiction / African American / General
Little Fires Everywhere: The New York Times Top Ten Bestseller,Celeste Ng,Hachette UK,Sep 12| 2017,4.2,400,9781408709702,English,Family & Relationships / Adoption & Fostering
The Rosie Effect,Graeme Simsion,Penguin UK,Sep 25| 2014,4.2,432,9781405918077,English,Fiction / Family Life / General
Friend Request: The most addictive psychological thriller you'll read this year,Laura Marshall,Hachette UK,Jul 27| 2017,4.5,400,9780751568349,English,Fiction / Crime
Christmas Shopaholic: The brilliant laugh-out-loud festive novel from the Number One bestselling author,Sophie Kinsella,Random House,Oct 17| 2019,4.7,464,9781473570009,English,Fiction / Family Life / General
Don't Want To Miss A Thing: A warm and witty romance with many twists along the way,Jill Mansell,Hachette UK,Jan 31| 2013,4.5,352,9780755355983,English,Family & Relationships / General
The Pact: A Love Story,Jodi Picoult,Harper Collins,Oct 6| 2009,4.5,512,9780061980244,English,Fiction / Family Life / General
Claim Me: Stark Series Book 2,J. Kenner,Hachette UK,Apr 23| 2013,4.5,291,9781472206084,English,Art / Subjects & Themes / Human Figure
Postscript,Cecelia Ahern,HarperCollins,Sep 19| 2019,4.6,400,9780008194895,English,Fiction / Family Life / General
Checkmate: This is Effortless,Kennedy Fox,Kennedy Fox,Apr 25| 2017,4.7,403,9781946087034,English,Fiction / Friendship
The Goldfinch,Donna Tartt,Hachette UK,Oct 22| 2013,3.9,784,9781405529518,English,Fiction / Coming of Age
Love to Hate You: The laugh-out-loud romantic comedy hit,Jo Watson,Hachette UK,Feb 6| 2018,0,384,9781472257772,English,Fiction / Family Life / General
Stella| Until You,Danielle Norman,F Squared| LLP,Jan 22| 2019,4.7,286,9780999786109,English,Fiction / Friendship
Sister Of My Heart,Chitra Divakaruni,Random House,Aug 17| 2010,4.2,352,9781409010135,English,Fiction / Asian American
The Left Hand of Darkness,Ursula K. Le Guin,Hachette UK,Apr 13| 2017,4.5,320,9781473221635,English,Fiction / Classics
Sleepless In Manhattan (From Manhattan with Love| Book 1),Sarah Morgan,HarperCollins UK,Mar 10| 2016,4.7,384,9781474045247,English,Fiction / Family Life / Siblings
The Girl With No Dreams,Deepak Gupta,Inspirational Publishing,Dec 17| 2019,4.4,38,Flowing text, Google-generated PDF,Family & Relationships / Friendship,Family & Relationships / Love & Romance
Walk of Shame: A sparkling feel-good rom-com from the bestselling author of The Prenup!,Lauren Layne,Hachette UK,Apr 18| 2017,4.5,256,9781472248756,English,Fiction / City Life
The Story of a New Name,Elena Ferrante,Europa Editions,Mar 3| 2020,4.4,471,9781609456412,English,Fiction / Family Life / Marriage & Divorce
The Guardian,Nicholas Sparks,Hachette UK,Apr 18| 2013,4.2,464,9780751552959,English,Fiction / Friendship
The Storied Life of A.J. Fikry,Gabrielle Zevin,Hachette UK,Dec 2| 2014,4.3,320,9780349141084,English,Fiction / Disaster
The Great Believers,Rebecca Makkai,Hachette UK,Jun 7| 2018,4.6,432,9780708899106,English,Family & Relationships / General
The Giver of Stars: Fall in love with the enchanting 2020 Sunday Times bestseller from the author of Me Before You,Jojo Moyes,Penguin UK,Oct 3| 2019,4.3,448,9780718183226,English,Fiction / Family Life / Siblings
The Sense of an Ending,Julian Barnes,Random House,Aug 4| 2011,3.8,160,9781446467626,English,Fiction / Friendship
10 Minutes 38 Seconds in this Strange World: SHORTLISTED FOR THE BOOKER PRIZE 2019,Elif Shafak,Penguin UK,Jun 6| 2019,4.0,320,9780241979457,English,Fiction / Family Life / General
One Night With A Billionaire: Billionaire Boys Club 6,Jessica Clare,Hachette UK,Jun 2| 2015,4.5,192,9781472218704,English,Fiction / Family Life / General
Sula,Toni Morrison,Random House,Sep 4| 2014,4.9,208,9781448105021,English,Fiction / African American / Historical
The Invention of Wings,Sue Monk Kidd,Hachette UK,Jan 7| 2014,4.2,416,9781472212764,English,Fiction / African American / Historical
The Travelling Cat Chronicles: The most uplifting book of the year,Hiro Arikawa,Random House,Nov 2| 2017,4.5,256,9781473541573,English,Fiction / Action & Adventure
Life is Strange #2.1: Partners in Time,Emma Vieceli,Titan Comics,Oct 14| 2020,5.0,36,9781787735446,English,Comics & Graphic Novels / Crime & Mystery
The Dilemma: The Sunday Times top ten bestseller - a thrilling psychological suspense book from million-copy bestselling author B A Paris,B A Paris,HarperCollins UK,Dec 19| 2019,4.4,352,9780008244910,English,Fiction / Family Life / General
The Hunting Party,Lucy Foley,HarperCollins,Dec 3| 2018,4.1,400,9780008297138,English,Fiction / Crime
Kept: The Enforcers 3,Maya Banks,Hachette UK,Oct 25| 2016,4.8,384,9781472238566,English,Family & Relationships / Abuse / Child Abuse
After the End: The powerful| life-affirming novel from the Sunday Times Number One bestselling author,Clare Mackintosh,Hachette UK,Jun 25| 2019,4.5,384,9780751564938,English,Family & Relationships / Parenting / General
The Proposal: A Reese Witherspoon Hello Sunshine Book Club Pick,Jasmine Guillory,Hachette UK,Oct 30| 2018,4.0,304,9781472255853,English,Cooking / Comfort Food
The Submissive: Submissive 1,Tara Sue Me,Hachette UK,Feb 12| 2013,4.1,300,9781472208064,English,Fiction / Friendship
