title, author, publisher, date_published, ratings, pages, isbn, language, genres
Aleph,Paulo Coelho,HarperCollins UK,Sep 1| 2011,4.3,320,9780007435531,English,Body| Mind & Spirit / General
For One More Day,Mitch Albom,Hachette UK,Jun 11| 2009,4.2,208,9780748112623,English,Fiction / Family Life / General
Grimnirs,Ednah Walters,Firetrail Publishing,Dec 2| 2013,4.6,284,9780983429791,English,Body| Mind & Spirit / Afterlife & Reincarnation
I| Robot,Isaac Asimov,HarperCollins UK,May 3| 2018,4.7,256,9780007369355,English,Fiction / Science Fiction / Action & Adventure
My Sister's Keeper,Jodi Picoult,Hachette UK,Jan 22| 2009,4.5,300,9781848941465,English,Fiction / Family Life / General
The Seven Deaths of Evelyn Hardcastle: The Sunday Times Bestseller and Winner of the Costa First Novel Award,Stuart Turton,Bloomsbury Publishing,Feb 8| 2018,4.2,528,9781408889572,English,Fiction / Action & Adventure
The Left Hand of Darkness,Ursula K. Le Guin,Hachette UK,Apr 13| 2017,4.5,320,9781473221635,English,Fiction / Classics
The Dalai Lama's Cat,David Michie,Hay House| Inc,Oct 1| 2012,4.6,240,9781401940591,English,Fiction / Biographical
1Q84: Book 3: Book 3,Haruki Murakami,Random House,Oct 25| 2011,4.2,464,9781446484203,English,Fiction / Dystopian
The Journeys of Socrates: An Adventure,Dan Millman,Harper Collins,Oct 13| 2009,4.8,352,9780061841514,English,Body| Mind & Spirit / Inspiration & Personal Growth
Rose Madder,Stephen King,Hachette UK,Mar 22| 2010,4.6,300,9781848940925,English,Fiction / Fairy Tales| Folk Tales| Legends & Mythology
Memoirs and Misinformation: A novel,Jim Carrey,Knopf,Jul 7| 2020,4.5,272,9780525655985,English,Fiction / Biographical
Appointment with Death (Poirot),Agatha Christie,HarperCollins UK,Oct 14| 2010,4.5,304,9780007422142,English,Fiction / Classics
Angelopolis: A Novel,Danielle Trussoni,Penguin,Mar 26| 2013,4.4,320,9781101606063,English,Fiction / Fantasy / Paranormal
Inferno,Dante,Bantam,Aug 3| 2004,4.2,432,9780553900538,English,Fiction / Christian / Classic & Allegory
The Little Prince,Antoine de Saint-Exupéry,Pan Macmillan,Oct 8| 2015,4.8,144,9781509811311,English,Fiction / Classics
Breakfast of Champions,Kurt Vonnegut,Random House,Sep 30| 2010,4.4,320,9781407054032,English,Fiction / General
Regal,Brian Rathbone,White Wolf Press| LLC,2013,4.4,298,9781301786039,English,Body| Mind & Spirit / Magick Studies
Seirs,Kim Richardson,FablePrint,2012,4.5,243,9781301111862,English,Fiction / Action & Adventure
The Poisonwood Bible,Barbara Kingsolver,Faber & Faber,Sep 4| 2008,4.4,640,9780571246212,English,Fiction / Family Life / General
Jitterbug Perfume: A Novel,Tom Robbins,Bantam,Jun 17| 2003,4.8,352,9780553897920,English,Fiction / Literary
Stone Cold Magic,Jayne Faith,Jayne Faith,Nov 10| 2017,4.5,320,9780997026054,English,Body| Mind & Spirit / Magick Studies
Apeirogon: Longlisted for the 2020 Booker Prize,Colum McCann,Bloomsbury Publishing,Feb 25| 2020,4.2,480,9781526607874,English,Fiction / Family Life / General
The Overstory: Winner of the 2019 Pulitzer Prize for Fiction,Richard Powers,Random House,Apr 11| 2019,4.6,640,9781473554498,English,Fiction / General
Solomon Creed,Simon Toyne,HarperCollins,Sep 10| 2015,4.2,496,9780007551378,English,Fiction / Action & Adventure
