title, author, publisher, date_published, ratings, pages, isbn, language, genres
Eleanor Oliphant is Completely Fine,Gail Honeyman,HarperCollins,May 18| 2017,4.7,400,9780008172138,English,Fiction / Coming of Age
It: Film tie-in edition of Stephen King’s IT,Stephen King,Hachette UK,Oct 4| 2007,4.6,1392,9781848940871,English,Fiction / Coming of Age
I Only Have Eyes for You: The Sullivans| Book 4,Bella Andre,Oak Press| LLC,Jan 1| 2014,4.6,400,9781938127175,English,Fiction / Coming of Age
Beautiful Disaster: A Novel,Jamie McGuire,Simon and Schuster,Jul 12| 2012,4.5,432,9781476712055,English,Fiction / Coming of Age
Eleanor & Park,Rainbow Rowell,Hachette UK,Apr 12| 2012,4.5,320,9781409116332,English,Fiction / Coming of Age
The Hook Up,Kristen Callihan,Plain Jane Books,Sep 8| 2014,4.6,352,9780990715702,English,Fiction / Coming of Age
Emerald Darkness,Sarra Cannon,Dead River Books,May 11| 2015,4.8,176,9781624210372,English,Fiction / Coming of Age
Flowers In The Attic,V.C. Andrews,Simon and Schuster,Feb 8| 2011,4.5,416,9781451636949,English,Fiction / Classics
My Not So Perfect Life: A Novel,Sophie Kinsella,Random House,Feb 9| 2017,4.4,464,9781473510616,English,Fiction / Coming of Age
The Secret Diary of Adrian Mole Aged 13 3/4: Adrian Mole Book 1| Book 1,Sue Townsend,Penguin UK,Jan 19| 2012,4.5,336,9780718196134,English,Fiction / Coming of Age
Americanah,Chimamanda Ngozi Adichie,HarperCollins UK,Apr 6| 2013,4.3,400,9780007356492,English,Fiction / African American / General
For The Win,Brenna Aubrey,Silver Griffon Associates,Jun 16| 2015,4.7,463,9781940951072,English,Fiction / Coming of Age
The Shadow of the Wind: The Cemetery of Forgotten Books 1| Book 1,Carlos Ruiz Zafon,Hachette UK,Apr 16| 2009,4.4,512,9780297857136,English,Antiques & Collectibles / Books
Girl| Woman| Other: WINNER OF THE BOOKER PRIZE 2019,Bernardine Evaristo,Penguin UK,May 2| 2019,4.5,464,9780241985007,English,Fiction / African American / Women
The 100,Kass Morgan,Hachette UK,Aug 29| 2013,4.6,336,9781444766899,English,Fiction / Coming of Age
Such a Fun Age: 'The book of the year' Independent,Kiley Reid,Bloomsbury Publishing,Jan 7| 2020,4.4,320,9781526612175,English,Family & Relationships / Babysitting| Day Care & Child Care
The Brief Wondrous Life of Oscar Wao,Junot Díaz,Penguin,Sep 6| 2007,4.5,352,9781101147306,English,Fiction / Coming of Age
By the River Piedra I Sat Down and Wept: A Novel of Forgiveness,Paulo Coelho,Harper Collins,Oct 13| 2009,4.1,208,9780061859953,English,Fiction / Coming of Age
Doctors,Erich Segal,Hachette UK,Apr 25| 2013,4.2,800,9781444768459,English,Fiction / Coming of Age
The Dutch House: A Novel,Ann Patchett,HarperCollins,Sep 24| 2019,4.3,352,9780062963697,English,Fiction / Coming of Age
Souls,Ednah Walters,Firetrail Publishing,Sep 29| 2014,4.8,292,9780991251728,English,Fiction / Coming of Age
Angel of Storms: The gripping fantasy adventure of danger and forbidden magic (Book 2 of Millennium's Rule),Trudi Canavan,Hachette UK,Nov 12| 2015,4.6,576,9780748132386,English,Fiction / Action & Adventure
To Kill a Mockingbird (Enhanced Edition),Harper Lee,Harper Collins,Nov 4| 2014,4.4,336,9780062369635,English,Fiction / Classics
Beneath This Man,Jodi Ellen Malpas,Hachette UK,Oct 24| 2013,4.6,432,9781409151517,English,Fiction / Coming of Age
No Longer Human,Osamu Dazai,New Directions Publishing,Jan 17| 1973,4.7,176,9780811220071,English,Fiction / Classics
Styled,Piper Lawson,Piper Lawson Books,Jan 19| 2018,4.8,300,Flowing text, Google-generated PDF,Fiction / Coming of Age,Fiction / Romance / Contemporary
Witch Queen : Divided Realms Book 2,Kim Richardson,FablePrint,Jan 23| 2016,4.7,234,9781311380289,English,Fiction / Action & Adventure
Rowdy,Jay Crownover,Harper Collins,Oct 21| 2014,4.6,416,9780062333063,English,Fiction / Coming of Age
Almond: A Novel,Won-pyung Sohn,HarperCollins,May 5| 2020,4.8,272,9780062961402,English,Fiction / Asian American
All Broke Down,Cora Carmack,Harper Collins,Oct 28| 2014,4.5,368,9780062326232,English,Fiction / Coming of Age
One and Only [NA New Adult College Contemporary Romance],Viv Daniels,Word for Word,Nov 8| 2013,4.5,250,9781937135065,English,Fiction / Coming of Age
The Goldfinch,Donna Tartt,Hachette UK,Oct 22| 2013,3.9,784,9781405529518,English,Fiction / Coming of Age
Masquerade (The Rosewoods| #2),Katrina Abbott,Over The Cliff Publishing,Feb 24| 2014,4.5,200,Flowing text, Original pages,Fiction / Coming of Age,Juvenile Fiction / Animals / Horses
Never Date Your Best Friend,Jules Barnard,Fresh Fiction Pub,Apr 20| 2015,4.6,109,9780991560479,English,Fiction / Coming of Age
Half a King (Shattered Sea| Book 1),Joe Abercrombie,HarperCollins UK,Jul 3| 2014,4.3,416,9780007550210,English,Fiction / Action & Adventure
Close Remembrance (The Krinar Chronicles: Volume 3),Anna Zaires,Mozaika Publications,Sep 5| 2013,4.2,398,9780988391345,English,Body| Mind & Spirit / Supernatural
Fall With Me,Jennifer L. Armentrout,Harper Collins,Mar 31| 2015,4.5,384,9780062362759,English,Fiction / Coming of Age
Changing Everything,Molly McAdams,HarperCollins,Mar 3| 2015,4.4,288,9780062391407,English,Fiction / Coming of Age
The Things I Do for You,M. Malone,CrushStar Romance,Mar 11| 2013,4.5,300,9781938789069,English,Fiction / Coming of Age
Perfekt Control,S.T. Bende,S.T. Bende,Feb 9| 2016,4.9,280,Flowing text, Google-generated PDF,Fiction / Coming of Age,Fiction / Fairy Tales| Folk Tales| Legends & Mythology
Colorless Tsukuru Tazaki and His Years of Pilgrimage,Haruki Murakami,Random House,Aug 12| 2014,4.2,304,9781448190959,English,Fiction / Coming of Age
Dragon Dawn,Mark E. Cooper,Impulse Books UK,Nov 15| 2013,4.7,340,9781905380084,English,Fiction / Coming of Age
Endless Love,Emma Keene,Outfox Digital Publishing,May 25| 2014,4.5,200,Flowing text, Google-generated PDF,Fiction / Coming of Age,Juvenile Fiction / Love & Romance
The Last Shot,Sara Hubbard,Sara Hubbard,Nov 15| 2015,4.3,220,9780992091279,English,Fiction / Coming of Age
Maybe Not: A Novella,Colleen Hoover,Simon and Schuster,Nov 24| 2014,4.5,112,9781476799841,English,Fiction / Coming of Age
Boyfriend Material,Alexis Hall,Sourcebooks| Inc.,Jul 7| 2020,4.7,432,9781728206158,English,Fiction / Coming of Age
The Boy & His Ribbon,Pepper Winters,Pepper Winters,Apr 3| 2018,4.9,300,Flowing text, Google-generated PDF,Fiction / Coming of Age,Fiction / Romance / Contemporary
The Orphan Master's Son: Barack Obama’s Summer Reading Pick 2019,Adam Johnson,Random House,Feb 16| 2012,4.4,592,9781448109265,English,Fiction / Coming of Age
Heartland,Sarina Bowen,Tuxbury Publishing LLC,Jan 28| 2020,4.8,296,9781942444978,English,Fiction / Coming of Age
Sword Bearer,Teddy Jacobs,Wicked Evil Press,240,4.1,Flowing text, Original pages,Web, Tablet, Phone, eReader,Fiction / Fantasy / Epic,Juvenile Fiction / Fantasy & Magic
