title, author, publisher, date_published, ratings, pages, isbn, language, genres
The Institute,Stephen King,Hachette UK,Sep 10| 2019,4.5,496,9781529355420,English,Fiction / Horror
Edgar Allan Poe: Complete Tales & Poems,Edgar Allan Poe,Top Five Books LLC,Sep 13| 2013,4.4,1600,9781938938115,English,Fiction / Classics
Deceiving Darkness,Sarra Cannon,Sarra Cannon,Oct 31| 2018,4.9,391,9781624210655,English,Fiction / Coming of Age
The Mysterious Affair at Styles (Poirot),Agatha Christie,HarperCollins UK,Oct 14| 2010,4.5,208,9780007422586,English,Fiction / Classics
H.P. Lovecraft: The Ultimate Collection (160 Works Including Early Writings| Fiction| Collaborations| Poetry| Essays & Bonus Audiobook Links),H.P. Lovecraft,eBookIt.com,Jun 18| 2014,4.4,1945,9781456622626,English,Fiction / Classics
The Exorcist: 40th Anniversary Edition,William Peter Blatty,Harper Collins,Oct 4| 2011,4.5,400,9780062094377,English,Fiction / Horror
Bird Box: The bestselling psychological thriller| now a major film,Josh Malerman,HarperCollins UK,Mar 27| 2014,4.4,400,9780007529896,English,Fiction / Ghost
The Terror,Dan Simmons,Random House,Apr 30| 2010,4.3,944,9781407038995,English,Fiction / Ghost
The Library at Mount Char: A Novel,Scott Hawkins,Crown,Jun 16| 2015,4.4,400,9780553418613,English,Fiction / Fantasy / Contemporary
The Girl With All The Gifts: The most original thriller you will read this year,M. R. Carey,Hachette UK,Jan 14| 2014,4.3,416,9780748123797,English,Fiction / Dystopian
Blood Infernal,James Rollins,Harper Collins,Feb 10| 2015,4.5,576,9780062343284,English,Fiction / Action & Adventure
Dracula,Bram Stoker,Simon and Schuster,May 6| 2014,4.4,450,9781476788104,English,Fiction / Classics
Whispers in the Dark: A Book of Spooks,Ruskin Bond,Penguin UK,Sep 20| 2016,4.9,224,9789386057969,English,Fiction / Horror
The Guest List,Lucy Foley,HarperCollins,Feb 20| 2020,4.4,384,9780008297183,English,Fiction / Horror
The secrets of the Haunted House: Part 1 - The innocent wife,Mukesh Ravichandran,MPS Publishers,Aug 14| 2020,3.9,20,Original pages,Body, Mind & Spirit / Supernatural (incl. Ghosts),Comics & Graphic Novels / Horror
American Psycho,Bret Easton Ellis,Pan Macmillan,Dec 15| 2014,4.7,400,9781447277712,English,Fiction / Classics
The Passage,Justin Cronin,Hachette UK,Jun 24| 2010,4.5,688,9781409107262,English,Computers / Security / Viruses & Malware
NOS4A2: A Novel,Joe Hill,Harper Collins,Apr 30| 2013,4.3,720,9780062200594,English,Fiction / Horror
Welcome to Night Vale,Joseph Fink,HarperCollins,Oct 20| 2015,4.6,416,9780062351449,English,Fiction / Fantasy / Humorous
I Am Legend,Richard Matheson,Hachette UK,Sep 1| 2011,4.4,176,9780575119574,English,Fiction / Dystopian
Code Zero,Jonathan Maberry,St. Martin's Griffin,Mar 25| 2014,4.7,480,9781250033420,English,Fiction / Horror
Enchanted Objects (YA Witch Series),Kristen Middleton,Kristen Middleton,May 5| 2016,4.8,302,9781524217167,English,Fiction / Fantasy / General
The Silent Girls,Eric Rickstad,Harper Collins,Nov 25| 2014,4.1,416,9780062351517,English,Fiction / Horror
Dark Hollows: An absolutely gripping 2020 psychological thriller with a breathtaking twist,Steve Frech,HarperCollins UK,Dec 6| 2019,4.5,384,9780008368227,English,Fiction / Crime
The Seven Deaths of Evelyn Hardcastle: The Sunday Times Bestseller and Winner of the Costa First Novel Award,Stuart Turton,Bloomsbury Publishing,Feb 8| 2018,4.2,528,9781408889572,English,Fiction / Action & Adventure
Phantoms: A Thriller,Dean Koontz,Penguin,Feb 5| 2002,4.5,448,9781440620171,English,Fiction / Horror
Frankenstein,Mary Shelley,GENERAL PRESS,Oct 16| 2017,4.6,240,9788193545829,English,Fiction / Classics
Crash - Book 2 (A Paranormal| Vampire Romance),Chrissy Peebles,Dark Shadows Publishing,Nov 20| 2014,4.6,129,Flowing text, Original pages,Fiction / Erotica / Science Fiction, Fantasy & Horror,Fiction / Fantasy / Dark Fantasy
Alpha Blood Box Set (BBW Werewolf Shifter Romance),Mac Flynn,Crescent Moon Studios| Inc.,Oct 19| 2015,4.4,500,Flowing text, Original pages,Fiction / Action & Adventure,Fiction / Contemporary Women
BRITTER BAIRE: BHOUTIK ALOUKIK GOLPER PATRIKA,Different Writers,SRISTI PUBLICATION,May 28| 2020,4.9,240,Original pages,Fiction / Horror,Fiction / Thrillers / Crime
The MEG,Steve Alten,Head of Zeus Ltd,May 18| 2017,4.5,400,9781786695734,English,Fiction / Horror
Let the Right One In,John Ajvide Lindqvist,Hachette UK,Apr 22| 2009,4.8,527,9781849163491,English,Fiction / Horror
The Secrets Of The Shadows (The Annie Graham crime series| Book 2),Helen Phifer,HarperCollins UK,Apr 8| 2014,4.4,352,9781472091000,English,Fiction / Action & Adventure
Final Girls: Three Girls. Three Tragedies. One Unthinkable Secret,Riley Sager,Random House,Jul 13| 2017,4.6,352,9781473529915,English,Fiction / Crime
The Haunting of Hill House,Shirley Jackson,Penguin UK,Oct 1| 2009,4.0,256,9780141927541,English,Fiction / Classics
Stalker (Joona Linna| Book 5),Lars Kepler,HarperCollins,May 5| 2016,4.5,592,9780007467846,English,Fiction / Horror
Mercurial Dreams,Hadena James,Hadena James,Feb 13| 2015,4.6,381,Flowing text, Google-generated PDF,Fiction / Horror,Fiction / Thrillers / Crime
Mutation (Wildfire Chronicles Vol. 4) [post-apocalyptic/zombie horror],K.R. Griffiths,K.R. Griffiths,Dec 31| 2013,4.5,288,9781494721534,English,Fiction / Horror
Somebody Tell Aunt Tillie We're In Trouble!,Christiana Miller,HekaRose Publishing,Oct 4| 2015,4.6,286,9780692292563,English,Fiction / Fantasy / Contemporary
The Circle: Single 2,Mario Escobar ,MARIO ESCOBAR GOLDEROS,Sep 21| 2016,4.4,58,Flowing text, Google-generated PDF,Fiction / Horror,Fiction / Thrillers / Suspense
The Ballad of Black Tom,Victor LaValle,Tordotcom,Feb 16| 2016,4.5,152,9780765386618,English,Fiction / Fantasy / Dark Fantasy
Mutation,Robin Cook,Penguin,Feb 1| 1990,4.4,352,9781101203491,English,Fiction / Horror
